annual_GHI_kWh_per_m2_yr,farm_size_ha,surplus_kWh_yr,npv_eur,npv_additive_eur,payback_yr
927.1186440677966,1.5973122800602544,1898.890268628044,-5089.447384395334,-64568.535088266486,15.0
952.542372881356,1.5973122800602544,1963.4996665444019,-5089.447384395334,-64568.535088266486,15.0
977.9661016949153,1.5973122800602544,2028.1090644607602,-5089.447384395334,-64568.535088266486,15.0
1003.3898305084746,1.5973122800602544,2092.718462377118,-5089.447384395334,-64568.535088266486,15.0
1028.8135593220338,1.5973122800602544,2157.3278602934756,-5089.447384395334,-64568.535088266486,15.0
1054.2372881355932,1.5973122800602544,2221.937258209834,-5089.447384395334,-64568.535088266486,15.0
1079.6610169491526,1.5973122800602544,2286.5466561261924,-5089.447384395334,-64568.535088266486,15.0
1105.084745762712,1.5973122800602544,2351.1560540425503,-5089.447384395334,-64568.535088266486,15.0
1130.508474576271,1.5973122800602544,2415.7654519589078,-5089.447384395334,-64568.535088266486,15.0
1155.9322033898306,1.5973122800602544,2480.3748498752666,-5089.447384395334,-64568.535088266486,15.0
1181.3559322033898,1.5973122800602544,2544.984247791624,-5089.447384395334,-64568.535088266486,15.0
1206.7796610169491,1.5973122800602544,2609.5936457079824,-5089.447384395334,-64568.535088266486,15.0
1232.2033898305085,1.5973122800602544,2674.2030436243404,-5089.447384395334,-64568.535088266486,15.0
1257.6271186440677,1.5973122800602544,2738.8124415406983,-5089.447384395334,-64568.535088266486,15.0
1283.0508474576272,1.5973122800602544,2803.421839457057,-5089.447384395334,-64568.535088266486,15.0
1308.4745762711864,1.5973122800602544,2868.0312373734146,-5089.447384395334,-64568.535088266486,15.0
1333.8983050847457,1.5973122800602544,2932.6406352897725,-5089.447384395334,-64568.535088266486,15.0
1359.322033898305,1.5973122800602544,2997.250033206131,-5089.447384395334,-64568.535088266486,15.0
1384.7457627118642,1.5973122800602544,3061.8594311224883,-5089.447384395334,-64568.535088266486,15.0
1410.1694915254238,1.5973122800602544,3126.468829038847,-5089.447384395334,-64568.535088266486,15.0
1435.593220338983,1.5973122800602544,3191.0782269552046,-5089.447384395334,-64568.535088266486,15.0
1461.0169491525423,1.5973122800602544,3255.687624871563,-5089.447384395334,-64568.535088266486,15.0
1486.4406779661017,1.5973122800602544,3320.297022787921,-5089.447384395334,-64568.535088266486,15.0
1511.864406779661,1.5973122800602544,3384.9064207042793,-5089.447384395334,-64568.535088266486,15.0
1537.2881355932204,1.5973122800602544,3449.515818620637,-5089.447384395334,-64568.535088266486,15.0
1562.7118644067796,1.5973122800602544,3514.125216536995,-5089.447384395334,-64568.535088266486,15.0
1588.135593220339,1.5973122800602544,3578.734614453353,-5089.447384395334,-64568.535088266486,15.0
1613.5593220338983,1.5973122800602544,3643.3440123697114,-5089.447384395334,-64568.535088266486,15.0
1638.9830508474577,1.5973122800602544,3707.9534102860694,-5089.447384395334,-64568.535088266486,15.0
1664.406779661017,1.5973122800602544,3772.5628082024273,-5089.447384395334,-64568.535088266486,15.0
1689.8305084745762,1.5973122800602544,3837.172206118785,-5089.447384395334,-64568.535088266486,15.0
1715.2542372881355,1.5973122800602544,3901.781604035143,-5089.447384395334,-64568.535088266486,15.0
1740.677966101695,1.5973122800602544,3966.391001951502,-5089.447384395334,-64568.535088266486,15.0
1766.1016949152543,1.5973122800602544,4031.00039986786,-5089.447384395334,-64568.535088266486,15.0
1791.5254237288136,1.5973122800602544,4095.609797784218,-5089.447384395334,-64568.535088266486,15.0
1816.9491525423728,1.5973122800602544,4160.219195700575,-5089.447384395334,-64568.535088266486,15.0
1842.3728813559321,1.5973122800602544,4224.828593616933,-5089.447384395334,-64568.535088266486,15.0
1867.7966101694915,1.5973122800602544,4289.437991533291,-5089.447384395334,-64568.535088266486,15.0
1893.2203389830509,1.5973122800602544,4354.04738944965,-5089.447384395334,-64568.535088266486,15.0
1918.6440677966102,1.5973122800602544,4418.656787366008,-5089.447384395334,-64568.535088266486,15.0
1944.0677966101696,1.5973122800602544,4483.266185282366,-5089.447384395334,-64568.535088266486,15.0
1969.4915254237287,1.5973122800602544,4547.875583198724,-5089.447384395334,-64568.535088266486,15.0
1994.915254237288,1.5973122800602544,4612.484981115082,-5089.447384395334,-64568.535088266486,15.0
2020.3389830508474,1.5973122800602544,4677.0943790314395,-5089.447384395334,-64568.535088266486,15.0
2045.7627118644068,1.5973122800602544,4741.703776947798,-5089.447384395334,-64568.535088266486,15.0
